seqno,district,year,type,name,area_length,manager
1,八里區,85,環保公園,大崁垃圾場,1.99公頃,新北市八里區公所
2,中和區,89,空地綠化,中和公園綠化,0.31公頃,新北市中和區公所
3,八里區,89,都會區道路綠化,道路綠化(臺15線0K~6.7K),6.7公里,新北市政府綠美化環境景觀處
4,坪林區,93,廢棄物棄(堆)置等污染場址綠化,石槽垃圾場垃圾場綠化,0.32公頃,新北市政府環境保護局坪林區清潔隊
5,林口區,93,廢棄物棄(堆)置等污染場址綠化,小南灣段下福小段1627地號腐植土堆置場址復育綠化,7公頃,新北市政府環境保護局八里垃圾掩埋場
6,三芝區,94,垃圾場復育綠化,埔頭橋垃圾場綠化,0.2公頃,新北市三芝區公所
7,林口區,95,廢棄物棄(堆)置等污染場址綠化,小南灣段下福小段1627地號腐植土堆置場(D區)綠化,9.2公頃,新北市政府環境保護局八里垃圾掩埋場
8,新店區,97,裸露地綠化,青潭國小校園預定地綠化,0.2公頃,新店區青潭國民小學
9,三重區,96,道路綠帶,三重環河北路,0.5公里,三重區公所(環境)/新北市政府綠美化環境景觀處(植栽)
10,三重區,96,道路綠帶,三重環河南路,0.5公里,三重區公所(環境)/新北市政府綠美化環境景觀處(植栽)
11,林口區,96,道路綠帶,林口橫窠雅路,0.5公里,林口區公所(環境)/新北市政府綠美化環境景觀處(植栽)
12,新店區,96,道路綠帶,新店碧潭河岸綠化計畫,1.8公頃,新北市政府綠美化環境景觀處
13,新莊區,89,廢棄物棄(堆)置等污染場址綠化,新莊西盛瓊林環保公園,47公頃,新北市政府高灘地工程管理處
14,三重區,90,廢棄物棄(堆)置等污染場址綠化,三重環保公園,13公頃,新北市政府高灘地工程管理處
15,土城區,94,廢棄物棄(堆)置等污染場址綠化,土城河濱公園,17.35公頃,新北市政府高灘地工程管理處
16,樹林區,94,廢棄物棄(堆)置等污染場址綠化,樹林河濱公園,22.66公頃,新北市政府高灘地工程管理處
17,板橋區,94,廢棄物棄(堆)置等污染場址綠化,板橋河濱公園,34公頃,新北市政府高灘地工程管理處
18,中和區,95,道路綠帶,中和台64線高架橋下,1.14公頃,新北市政府高灘地工程管理處
19,土城區,97,環保公園,土城頂新公園,1.8公頃,新北市土城區公所
20,三峽區,97,廢棄物棄(堆)置等污染場址綠化,三峽垃圾處理廠（場）提昇空氣品質綠化盆栽苗木養育工作,0.2公頃,新北市政府環保局新店垃圾焚化廠
21,新店區,97,廢棄物棄(堆)置等污染場址綠化,新店溪左岸中安便橋段高灘地景觀改善工程（陽光運動公園）,17公頃,新北市政府高灘地工程管理處
22,板橋區,98,環保公園,新板特區萬坪自然都會公園(第一期工程),1.6公頃,新北市板橋區公所
23,土城區,93,環保公園,桐花公園,1公頃,新北市土城區公所
24,鶯歌區,97,空地(社區)綠美化,陶瓷藝術園區,4.5公頃,新北市立鶯歌陶瓷博物館
25,三峽區,97,廢棄物棄(堆)置等污染場址綠化,三峽碳中和樂園,1.8公頃,新北市政府環保局新店垃圾焚化廠
26,樹林區,100,裸露地綠美化,樹林綠能環教休閒中心,1.6公頃,新北市政府環保局樹林垃圾焚化廠
27,貢寮區,110,裸露地綠美化,貢寮街126號後方空地,0.02公頃,貢寮里里辦公處
28,雙溪區,110,裸露地綠美化,"北38鄉道(高分坪林電桿11 C0740BE43旁)",0.03公頃,平林里里辦公處
29,三重區,110,裸露地綠美化,仁政街124號旁牆面,0.003公頃,溪美里里辦公處
30,汐止區,110,裸露地綠美化,橫科活動中心旁,0.04公頃,橫科里里辦公處
31,貢寮區,111,裸露地綠美化,"貢寮區德心街10 號",0.05公頃,貢寮區清潔隊
32,樹林區,111,裸露地綠美化,"樹林區復興路202 號旁",0.03公頃,樹林區清潔隊
